settingIdx	format	settingGroup	countValuesLarge	repIdx	bitwidth	runtime:µs	countValuesSmall	compressed size [byte]	runtime compr cache2ram [µs]	runtime decompr ram2reg [µs]	runtime decompr ram2ram [µs]	runtime compr ram2ram [µs]	minBucket	maxBucket	Avg	numBuckets	Std	Skew	Kurt	check	Sorted	Min	Max	bwHist_1	bwHist_2	bwHist_3	bwHist_4	bwHist_5	bwHist_6	bwHist_7	bwHist_8	bwHist_9	bwHist_10	bwHist_11	bwHist_12	bwHist_13	bwHist_14	bwHist_15	bwHist_16	bwHist_17	bwHist_18	bwHist_19	bwHist_20	bwHist_21	bwHist_22	bwHist_23	bwHist_24	bwHist_25	bwHist_26	bwHist_27	bwHist_28	bwHist_29	bwHist_30	bwHist_31	bwHist_32	bwHist_33	bwHist_34	bwHist_35	bwHist_36	bwHist_37	bwHist_38	bwHist_39	bwHist_40	bwHist_41	bwHist_42	bwHist_43	bwHist_44	bwHist_45	bwHist_46	bwHist_47	bwHist_48	bwHist_49	bwHist_50	bwHist_51	bwHist_52	bwHist_53	bwHist_54	bwHist_55	bwHist_56	bwHist_57	bwHist_58	bwHist_59	bwHist_60	bwHist_61	bwHist_62	bwHist_63	bwHist_64
1	group_simple_f<8>	0	67108864.0	2.0	1.0	589252.6666666666	2048.0	1.25	34213.666666666664	5041.666666666667	355990.6666666667	109194.0	1.0	1.0	1.0	1.0	0.125	8.000000000000002	64.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	group_simple_f<8>	0	67108864.0	2.0	1.0	587849.0	2048.0	1.25	34302.333333333336	5043.0	354316.3333333333	109324.0	1.0	1.0	1.0	1.0	0.125	8.000000000000002	64.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	group_simple_f<8>	0	67108864.0	2.0	64.0	994121.6666666666	2048.0	17.916666666666668	226242.66666666666	13689.666666666666	356014.6666666667	279366.0	1.0	64.0	2.26123046875	2.0	0.1224833970454473	7.994899409318199	63.94398607429965	1.0	0.0	0.97998046875	0.02001953125	0.97998046875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02001953125
4	group_simple_f<8>	0	67108864.0	2.0	64.0	640608.0	2048.0	3.25	55688.0	5611.666666666667	357437.0	128569.33333333333	1.0	64.0	2.26123046875	2.0	0.1224833970454473	7.994899409318199	63.94398607429965	1.0	1.0	0.97998046875	0.02001953125	0.97998046875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02001953125
5	group_simple_f<8>	0	67108864.0	2.0	64.0	1334068.0	2048.0	31.833333333333332	380562.0	22981.333333333332	361720.0	427537.6666666667	1.0	64.0	3.5224609375	2.0	0.12002004647714942	7.979054546640387	63.76680350772448	1.0	0.0	0.9599609375	0.0400390625	0.9599609375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0400390625
6	group_simple_f<8>	0	67108864.0	2.0	64.0	663024.3333333334	2048.0	4.25	64576.666666666664	6428.333333333333	356465.6666666667	137058.0	1.0	64.0	3.5224609375	2.0	0.12002004647714942	7.979054546640387	63.76680350772448	1.0	1.0	0.9599609375	0.0400390625	0.9599609375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0400390625
7	group_simple_f<8>	0	67108864.0	2.0	64.0	1511229.0	2048.0	39.583333333333336	459646.6666666667	28274.333333333332	366619.3333333333	503438.0	1.0	64.0	4.78369140625	2.0	0.11761329437505462	7.9516754191270245	63.45450788736415	1.0	0.0	0.93994140625	0.06005859375	0.93994140625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06005859375
8	group_simple_f<8>	0	67108864.0	2.0	64.0	696721.3333333334	2048.0	5.5	77291.33333333333	7468.0	359094.3333333333	152439.33333333334	1.0	64.0	4.78369140625	2.0	0.11761329437505462	7.9516754191270245	63.45450788736415	1.0	1.0	0.93994140625	0.06005859375	0.93994140625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06005859375
9	group_simple_f<8>	0	67108864.0	2.0	64.0	1670830.3333333333	2048.0	46.166666666666664	532421.0	32590.0	371831.3333333333	570784.3333333334	1.0	64.0	6.044921875	2.0	0.1152666860975934	7.912026797769549	62.9931223344798	1.0	0.0	0.919921875	0.080078125	0.919921875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080078125
10	group_simple_f<8>	0	67108864.0	2.0	64.0	731919.6666666666	2048.0	7.0	92876.66666666667	8997.0	357331.0	168755.33333333334	1.0	64.0	6.044921875	2.0	0.1152666860975934	7.912026797769549	62.9931223344798	1.0	1.0	0.919921875	0.080078125	0.919921875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.080078125
