settingIdx	format	settingGroup	countValuesLarge	repIdx	bitwidth	runtime:µs	countValuesSmall	compressed size [byte]	runtime compr cache2ram [µs]	runtime decompr ram2reg [µs]	runtime decompr ram2ram [µs]	runtime compr ram2ram [µs]	minBucket	maxBucket	Avg	numBuckets	Std	Skew	Kurt	check	Sorted	Min	Max	bwHist_1	bwHist_2	bwHist_3	bwHist_4	bwHist_5	bwHist_6	bwHist_7	bwHist_8	bwHist_9	bwHist_10	bwHist_11	bwHist_12	bwHist_13	bwHist_14	bwHist_15	bwHist_16	bwHist_17	bwHist_18	bwHist_19	bwHist_20	bwHist_21	bwHist_22	bwHist_23	bwHist_24	bwHist_25	bwHist_26	bwHist_27	bwHist_28	bwHist_29	bwHist_30	bwHist_31	bwHist_32	bwHist_33	bwHist_34	bwHist_35	bwHist_36	bwHist_37	bwHist_38	bwHist_39	bwHist_40	bwHist_41	bwHist_42	bwHist_43	bwHist_44	bwHist_45	bwHist_46	bwHist_47	bwHist_48	bwHist_49	bwHist_50	bwHist_51	bwHist_52	bwHist_53	bwHist_54	bwHist_55	bwHist_56	bwHist_57	bwHist_58	bwHist_59	bwHist_60	bwHist_61	bwHist_62	bwHist_63	bwHist_64
1	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	1.0	1468376.6666666667	2048.0	64.25	377829.6666666667	74872.0	404901.3333333333	409935.6666666667	1.0	1.0	1.0	1.0	0.125	8.000000000000002	64.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	1.0	1467434.0	2048.0	64.25	376424.0	74870.33333333333	405135.3333333333	408381.0	1.0	1.0	1.0	1.0	0.125	8.000000000000002	64.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	2.0	1469951.3333333333	2048.0	64.25	379028.6666666667	76920.0	402537.3333333333	409682.3333333333	1.0	2.0	1.31298828125	2.0	0.09380169608745602	6.5253682756019415	44.43841985573328	1.0	0.0	0.68701171875	0.31298828125	0.68701171875	0.31298828125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	2.0	1465733.3333333333	2048.0	64.25	376618.3333333333	74778.66666666667	404197.3333333333	409801.3333333333	1.0	2.0	1.31298828125	2.0	0.09380169608745602	6.5253682756019415	44.43841985573328	1.0	1.0	0.68701171875	0.31298828125	0.68701171875	0.31298828125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	3.0	1467519.3333333333	2048.0	64.25	375619.0	76801.33333333333	406214.3333333333	407251.3333333333	1.0	3.0	1.59130859375	3.0	0.08049438839413374	5.985639617635999	38.44894994592376	1.0	0.0	0.57177734375	0.1630859375	0.57177734375	0.26513671875	0.1630859375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	3.0	1466803.0	2048.0	64.25	377111.6666666667	75892.33333333333	404898.0	408961.6666666667	1.0	3.0	1.59130859375	3.0	0.08049438839413374	5.985639617635999	38.44894994592376	1.0	1.0	0.57177734375	0.1630859375	0.57177734375	0.26513671875	0.1630859375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	4.0	1468357.6666666667	2048.0	64.25	377388.0	76801.0	404606.0	407958.6666666667	1.0	4.0	1.8466796875	4.0	0.07277567200484059	5.719790295442767	35.80388352431731	1.0	0.0	0.51025390625	0.10205078125	0.51025390625	0.23486328125	0.15283203125	0.10205078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	4.0	1466529.0	2048.0	64.25	377499.3333333333	74886.33333333333	402700.6666666667	411105.0	1.0	4.0	1.8466796875	4.0	0.07277567200484059	5.719790295442767	35.80388352431731	1.0	1.0	0.51025390625	0.10205078125	0.51025390625	0.23486328125	0.15283203125	0.10205078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	5.0	1467056.6666666667	2048.0	64.25	376528.0	76828.0	405877.0	406505.6666666667	1.0	5.0	2.08203125	5.0	0.06786482057661337	5.611735519783533	34.93611924954046	1.0	0.0	0.474609375	0.072265625	0.474609375	0.21630859375	0.1337890625	0.10302734375	0.072265625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	for_f<256, 8, uncompr_f>	0	67108864.0	2.0	5.0	1464555.6666666667	2048.0	64.25	376056.0	76026.0	404420.0	406877.6666666667	1.0	5.0	2.08203125	5.0	0.06786482057661337	5.611735519783533	34.93611924954046	1.0	1.0	0.474609375	0.072265625	0.474609375	0.21630859375	0.1337890625	0.10302734375	0.072265625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
