settingIdx	format	settingGroup	countValuesLarge	repIdx	bitwidth	runtime:µs	countValuesSmall	compressed size [byte]	runtime compr cache2ram [µs]	runtime decompr ram2reg [µs]	runtime decompr ram2ram [µs]	runtime compr ram2ram [µs]	minBucket	maxBucket	Avg	numBuckets	Std	Skew	Kurt	check	Sorted	Min	Max	bwHist_1	bwHist_2	bwHist_3	bwHist_4	bwHist_5	bwHist_6	bwHist_7	bwHist_8	bwHist_9	bwHist_10	bwHist_11	bwHist_12	bwHist_13	bwHist_14	bwHist_15	bwHist_16	bwHist_17	bwHist_18	bwHist_19	bwHist_20	bwHist_21	bwHist_22	bwHist_23	bwHist_24	bwHist_25	bwHist_26	bwHist_27	bwHist_28	bwHist_29	bwHist_30	bwHist_31	bwHist_32	bwHist_33	bwHist_34	bwHist_35	bwHist_36	bwHist_37	bwHist_38	bwHist_39	bwHist_40	bwHist_41	bwHist_42	bwHist_43	bwHist_44	bwHist_45	bwHist_46	bwHist_47	bwHist_48	bwHist_49	bwHist_50	bwHist_51	bwHist_52	bwHist_53	bwHist_54	bwHist_55	bwHist_56	bwHist_57	bwHist_58	bwHist_59	bwHist_60	bwHist_61	bwHist_62	bwHist_63	bwHist_64
1	group_simple_f<8>	0	67108864.0	2.0	1.0	575581.6666666666	2048.0	1.25	34403.0	5075.0	354835.6666666667	115616.33333333333	1.0	1.0	1.0	1.0	0.125	8.000000000000002	64.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	group_simple_f<8>	0	67108864.0	2.0	1.0	578537.0	2048.0	1.25	34157.333333333336	5024.333333333333	356274.6666666667	117561.33333333333	1.0	1.0	1.0	1.0	0.125	8.000000000000002	64.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	group_simple_f<8>	0	67108864.0	2.0	2.0	588252.6666666666	2048.0	2.25	40002.0	4534.0	357742.0	117915.66666666667	1.0	2.0	1.31298828125	2.0	0.09380169608745602	6.5253682756019415	44.43841985573328	1.0	0.0	0.68701171875	0.31298828125	0.68701171875	0.31298828125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	group_simple_f<8>	0	67108864.0	2.0	2.0	583950.6666666666	2048.0	1.75	37650.0	4740.666666666667	356470.3333333333	118233.66666666667	1.0	2.0	1.31298828125	2.0	0.09380169608745602	6.5253682756019415	44.43841985573328	1.0	1.0	0.68701171875	0.31298828125	0.68701171875	0.31298828125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	group_simple_f<8>	0	67108864.0	2.0	3.0	606302.6666666666	2048.0	3.5	48731.0	5321.333333333333	360322.6666666667	120621.0	1.0	3.0	1.59130859375	3.0	0.08049438839413374	5.985639617635999	38.44894994592376	1.0	0.0	0.57177734375	0.1630859375	0.57177734375	0.26513671875	0.1630859375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6	group_simple_f<8>	0	67108864.0	2.0	3.0	589274.6666666666	2048.0	2.25	41220.666666666664	5130.666666666667	357965.3333333333	116982.66666666667	1.0	3.0	1.59130859375	3.0	0.08049438839413374	5.985639617635999	38.44894994592376	1.0	1.0	0.57177734375	0.1630859375	0.57177734375	0.26513671875	0.1630859375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	group_simple_f<8>	0	67108864.0	2.0	4.0	627136.0	2048.0	4.25	55877.333333333336	5282.666666666667	357983.6666666667	132510.0	1.0	4.0	1.8466796875	4.0	0.07277567200484059	5.719790295442767	35.80388352431731	1.0	0.0	0.51025390625	0.10205078125	0.51025390625	0.23486328125	0.15283203125	0.10205078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	group_simple_f<8>	0	67108864.0	2.0	4.0	594581.6666666666	2048.0	2.5	43020.333333333336	5105.0	356462.0	120748.0	1.0	4.0	1.8466796875	4.0	0.07277567200484059	5.719790295442767	35.80388352431731	1.0	1.0	0.51025390625	0.10205078125	0.51025390625	0.23486328125	0.15283203125	0.10205078125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	group_simple_f<8>	0	67108864.0	2.0	5.0	653197.0	2048.0	5.75	68781.66666666667	7108.0	359292.0	140973.66666666666	1.0	5.0	2.08203125	5.0	0.06786482057661337	5.611735519783533	34.93611924954046	1.0	0.0	0.474609375	0.072265625	0.474609375	0.21630859375	0.1337890625	0.10302734375	0.072265625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	group_simple_f<8>	0	67108864.0	2.0	5.0	602239.0	2048.0	2.75	46787.333333333336	5375.333333333333	356688.3333333333	123352.33333333333	1.0	5.0	2.08203125	5.0	0.06786482057661337	5.611735519783533	34.93611924954046	1.0	1.0	0.474609375	0.072265625	0.474609375	0.21630859375	0.1337890625	0.10302734375	0.072265625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	group_simple_f<8>	0	67108864.0	2.0	6.0	672118.6666666666	2048.0	6.75	78331.66666666667	9203.0	358677.3333333333	146718.0	1.0	6.0	2.33544921875	6.0	0.06344549329311346	5.431613725715753	33.078206866747784	1.0	0.0	0.43896484375	0.06103515625	0.43896484375	0.2041015625	0.1328125	0.091796875	0.0712890625	0.06103515625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	group_simple_f<8>	0	67108864.0	2.0	6.0	606492.0	2048.0	3.0	48724.0	5406.333333333333	356531.6666666667	125215.66666666667	1.0	6.0	2.33544921875	6.0	0.06344549329311346	5.431613725715753	33.078206866747784	1.0	1.0	0.43896484375	0.06103515625	0.43896484375	0.2041015625	0.1328125	0.091796875	0.0712890625	0.06103515625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	group_simple_f<8>	0	67108864.0	2.0	7.0	691427.6666666666	2048.0	7.5	86216.33333333333	8974.0	362119.0	153339.33333333334	1.0	7.0	2.51513671875	7.0	0.061070829108977064	5.4041535112874195	32.92651304028744	1.0	0.0	0.4228515625	0.041015625	0.4228515625	0.19580078125	0.12353515625	0.0927734375	0.072265625	0.0517578125	0.041015625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
14	group_simple_f<8>	0	67108864.0	2.0	7.0	618587.0	2048.0	3.5	53557.0	5576.333333333333	356976.3333333333	129690.66666666667	1.0	7.0	2.51513671875	7.0	0.061070829108977064	5.4041535112874195	32.92651304028744	1.0	1.0	0.4228515625	0.041015625	0.4228515625	0.19580078125	0.12353515625	0.0927734375	0.072265625	0.0517578125	0.041015625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	group_simple_f<8>	0	67108864.0	2.0	8.0	707118.0	2048.0	8.25	95575.33333333333	8035.666666666667	358005.0	163610.0	1.0	8.0	2.734375	8.0	0.05909608936161433	5.4321790145459286	33.37781832979491	1.0	0.0	0.4111328125	0.0419921875	0.4111328125	0.189453125	0.11572265625	0.083984375	0.06298828125	0.052734375	0.0419921875	0.0419921875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	group_simple_f<8>	0	67108864.0	2.0	8.0	619540.6666666666	2048.0	3.5	52788.333333333336	5656.333333333333	358480.6666666667	129372.66666666667	1.0	8.0	2.734375	8.0	0.05909608936161433	5.4321790145459286	33.37781832979491	1.0	1.0	0.4111328125	0.0419921875	0.4111328125	0.189453125	0.11572265625	0.083984375	0.06298828125	0.052734375	0.0419921875	0.0419921875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
17	group_simple_f<8>	0	67108864.0	2.0	9.0	728283.3333333334	2048.0	9.333333333333334	107228.66666666667	8561.333333333334	357585.0	170682.0	1.0	9.0	2.90576171875	9.0	0.05740371909715072	5.422243195508092	33.44471781320066	1.0	0.0	0.400390625	0.03173828125	0.400390625	0.1787109375	0.11572265625	0.083984375	0.06298828125	0.052734375	0.0419921875	0.03173828125	0.03173828125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18	group_simple_f<8>	0	67108864.0	2.0	9.0	620294.3333333334	2048.0	3.75	55479.333333333336	6468.333333333333	357706.3333333333	127112.66666666667	1.0	9.0	2.90576171875	9.0	0.05740371909715072	5.422243195508092	33.44471781320066	1.0	1.0	0.400390625	0.03173828125	0.400390625	0.1787109375	0.11572265625	0.083984375	0.06298828125	0.052734375	0.0419921875	0.03173828125	0.03173828125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	group_simple_f<8>	0	67108864.0	2.0	10.0	753548.3333333334	2048.0	10.416666666666666	116579.33333333333	9301.666666666666	359684.6666666667	180484.33333333334	1.0	10.0	3.0751953125	10.0	0.05559582991278717	5.318664171530828	32.26644002061284	1.0	0.0	0.384765625	0.02099609375	0.384765625	0.17724609375	0.11474609375	0.08349609375	0.0625	0.05224609375	0.04150390625	0.03125	0.03125	0.02099609375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	group_simple_f<8>	0	67108864.0	2.0	10.0	622561.3333333334	2048.0	3.75	54244.0	5583.0	358886.0	130394.66666666667	1.0	10.0	3.0751953125	10.0	0.05559582991278717	5.318664171530828	32.26644002061284	1.0	1.0	0.384765625	0.02099609375	0.384765625	0.17724609375	0.11474609375	0.08349609375	0.0625	0.05224609375	0.04150390625	0.03125	0.03125	0.02099609375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	group_simple_f<8>	0	67108864.0	2.0	11.0	784557.6666666666	2048.0	12.083333333333334	133466.66666666666	10456.666666666666	358635.0	193123.0	1.0	11.0	3.2685546875	11.0	0.05465108822723654	5.417083490852981	33.543811595076725	1.0	0.0	0.38232421875	0.021484375	0.38232421875	0.17041015625	0.1064453125	0.07470703125	0.06396484375	0.05322265625	0.04248046875	0.03173828125	0.03173828125	0.021484375	0.021484375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
22	group_simple_f<8>	0	67108864.0	2.0	11.0	633335.6666666666	2048.0	4.25	61516.333333333336	6137.0	356789.3333333333	133678.33333333334	1.0	11.0	3.2685546875	11.0	0.05465108822723654	5.417083490852981	33.543811595076725	1.0	1.0	0.38232421875	0.021484375	0.38232421875	0.17041015625	0.1064453125	0.07470703125	0.06396484375	0.05322265625	0.04248046875	0.03173828125	0.03173828125	0.021484375	0.021484375	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
