objective,correct algorithm,true,predicted algorithm,pred,equal,sape
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
compressed size [byte],"delta_f<512, 8, uncompr_f>",64.0,"delta_f<512, 8, uncompr_f>",64.0,1,0.0
