objective,correct algorithm,true,predicted algorithm,pred,equal,sape
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",311728.6666666667,"delta_f<512, 8, uncompr_f>",311728.6666666667,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",306723.3333333333,"delta_f<512, 8, uncompr_f>",306723.3333333333,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",308257.3333333333,"delta_f<512, 8, uncompr_f>",308257.3333333333,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",309424.0,"delta_f<512, 8, uncompr_f>",309424.0,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",309295.3333333333,"delta_f<512, 8, uncompr_f>",309295.3333333333,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",309101.6666666667,"delta_f<512, 8, uncompr_f>",309101.6666666667,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",308477.0,"delta_f<512, 8, uncompr_f>",308477.0,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",307830.0,"delta_f<512, 8, uncompr_f>",307830.0,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",309497.0,"delta_f<512, 8, uncompr_f>",309497.0,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",308512.0,"delta_f<512, 8, uncompr_f>",308512.0,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",309943.6666666667,"delta_f<512, 8, uncompr_f>",309943.6666666667,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",307852.6666666667,"delta_f<512, 8, uncompr_f>",307852.6666666667,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",308113.0,"delta_f<512, 8, uncompr_f>",308113.0,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",308781.6666666667,"delta_f<512, 8, uncompr_f>",308781.6666666667,1,0.0
runtime compr cache2ram [µs],"delta_f<512, 8, uncompr_f>",308956.0,"delta_f<512, 8, uncompr_f>",308956.0,1,0.0
