objective,correct algorithm,true,predicted algorithm,pred,equal,sape
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334178.3333333333,"delta_f<512, 8, uncompr_f>",334178.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335083.6666666667,"delta_f<512, 8, uncompr_f>",335083.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337864.0,"delta_f<512, 8, uncompr_f>",337864.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337510.3333333333,"delta_f<512, 8, uncompr_f>",337510.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336377.3333333333,"delta_f<512, 8, uncompr_f>",336377.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335775.0,"delta_f<512, 8, uncompr_f>",335775.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334944.3333333333,"delta_f<512, 8, uncompr_f>",334944.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334869.0,"delta_f<512, 8, uncompr_f>",334869.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336789.3333333333,"delta_f<512, 8, uncompr_f>",336789.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334859.0,"delta_f<512, 8, uncompr_f>",334859.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336573.3333333333,"delta_f<512, 8, uncompr_f>",336573.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",333658.0,"delta_f<512, 8, uncompr_f>",333658.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337243.6666666667,"delta_f<512, 8, uncompr_f>",337243.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335184.0,"delta_f<512, 8, uncompr_f>",335184.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335966.6666666667,"delta_f<512, 8, uncompr_f>",335966.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336792.0,"delta_f<512, 8, uncompr_f>",336792.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336642.0,"delta_f<512, 8, uncompr_f>",336642.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335894.6666666667,"delta_f<512, 8, uncompr_f>",335894.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335834.6666666667,"delta_f<512, 8, uncompr_f>",335834.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334287.3333333333,"delta_f<512, 8, uncompr_f>",334287.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334445.0,"delta_f<512, 8, uncompr_f>",334445.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335084.6666666667,"delta_f<512, 8, uncompr_f>",335084.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337616.6666666667,"delta_f<512, 8, uncompr_f>",337616.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336565.6666666667,"delta_f<512, 8, uncompr_f>",336565.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336453.3333333333,"delta_f<512, 8, uncompr_f>",336453.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337657.3333333333,"delta_f<512, 8, uncompr_f>",337657.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334163.0,"delta_f<512, 8, uncompr_f>",334163.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335582.0,"delta_f<512, 8, uncompr_f>",335582.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336821.6666666667,"delta_f<512, 8, uncompr_f>",336821.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",333910.0,"delta_f<512, 8, uncompr_f>",333910.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336690.3333333333,"delta_f<512, 8, uncompr_f>",336690.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334478.0,"delta_f<512, 8, uncompr_f>",334478.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337112.3333333333,"delta_f<512, 8, uncompr_f>",337112.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336612.6666666667,"delta_f<512, 8, uncompr_f>",336612.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334578.0,"delta_f<512, 8, uncompr_f>",334578.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",333985.3333333333,"delta_f<512, 8, uncompr_f>",333985.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336602.6666666667,"delta_f<512, 8, uncompr_f>",336602.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336311.6666666667,"delta_f<512, 8, uncompr_f>",336311.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336204.6666666667,"delta_f<512, 8, uncompr_f>",336204.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336065.0,"delta_f<512, 8, uncompr_f>",336065.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335831.6666666667,"delta_f<512, 8, uncompr_f>",335831.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",332595.6666666667,"delta_f<512, 8, uncompr_f>",332595.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336469.3333333333,"delta_f<512, 8, uncompr_f>",336469.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337644.3333333333,"delta_f<512, 8, uncompr_f>",337644.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337636.3333333333,"delta_f<512, 8, uncompr_f>",337636.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335788.6666666667,"delta_f<512, 8, uncompr_f>",335788.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335513.0,"delta_f<512, 8, uncompr_f>",335513.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336076.3333333333,"delta_f<512, 8, uncompr_f>",336076.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334848.0,"delta_f<512, 8, uncompr_f>",334848.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335663.3333333333,"delta_f<512, 8, uncompr_f>",335663.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335577.6666666667,"delta_f<512, 8, uncompr_f>",335577.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335550.3333333333,"delta_f<512, 8, uncompr_f>",335550.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336818.6666666667,"delta_f<512, 8, uncompr_f>",336818.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",338693.6666666667,"delta_f<512, 8, uncompr_f>",338693.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336703.0,"delta_f<512, 8, uncompr_f>",336703.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334132.0,"delta_f<512, 8, uncompr_f>",334132.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337333.0,"delta_f<512, 8, uncompr_f>",337333.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335050.6666666667,"delta_f<512, 8, uncompr_f>",335050.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337216.0,"delta_f<512, 8, uncompr_f>",337216.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334183.6666666667,"delta_f<512, 8, uncompr_f>",334183.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334967.3333333333,"delta_f<512, 8, uncompr_f>",334967.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334697.3333333333,"delta_f<512, 8, uncompr_f>",334697.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334891.6666666667,"delta_f<512, 8, uncompr_f>",334891.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336840.6666666667,"delta_f<512, 8, uncompr_f>",336840.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336615.0,"delta_f<512, 8, uncompr_f>",336615.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336321.0,"delta_f<512, 8, uncompr_f>",336321.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334294.3333333333,"delta_f<512, 8, uncompr_f>",334294.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335935.0,"delta_f<512, 8, uncompr_f>",335935.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",332384.0,"delta_f<512, 8, uncompr_f>",332384.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334095.3333333333,"delta_f<512, 8, uncompr_f>",334095.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",338490.6666666667,"delta_f<512, 8, uncompr_f>",338490.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336629.3333333333,"delta_f<512, 8, uncompr_f>",336629.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336250.0,"delta_f<512, 8, uncompr_f>",336250.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336436.6666666667,"delta_f<512, 8, uncompr_f>",336436.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",333734.3333333333,"delta_f<512, 8, uncompr_f>",333734.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336144.6666666667,"delta_f<512, 8, uncompr_f>",336144.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335265.3333333333,"delta_f<512, 8, uncompr_f>",335265.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336950.6666666667,"delta_f<512, 8, uncompr_f>",336950.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334701.6666666667,"delta_f<512, 8, uncompr_f>",334701.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",333702.0,"delta_f<512, 8, uncompr_f>",333702.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",337165.3333333333,"delta_f<512, 8, uncompr_f>",337165.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335214.6666666667,"delta_f<512, 8, uncompr_f>",335214.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336132.6666666667,"delta_f<512, 8, uncompr_f>",336132.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336533.0,"delta_f<512, 8, uncompr_f>",336533.0,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",336953.3333333333,"delta_f<512, 8, uncompr_f>",336953.3333333333,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335901.6666666667,"delta_f<512, 8, uncompr_f>",335901.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",335760.6666666667,"delta_f<512, 8, uncompr_f>",335760.6666666667,1,0.0
runtime decompr ram2ram [µs],"delta_f<512, 8, uncompr_f>",334272.6666666667,"delta_f<512, 8, uncompr_f>",334272.6666666667,1,0.0
