objective,correct algorithm,true,predicted algorithm,pred,equal,sape
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56706.66666666666,"delta_f<512, 8, uncompr_f>",56706.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58087.0,"delta_f<512, 8, uncompr_f>",58087.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58124.333333333336,"delta_f<512, 8, uncompr_f>",58124.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56685.333333333336,"delta_f<512, 8, uncompr_f>",56685.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56607.66666666666,"delta_f<512, 8, uncompr_f>",56607.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56633.333333333336,"delta_f<512, 8, uncompr_f>",56633.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58087.66666666666,"delta_f<512, 8, uncompr_f>",58087.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58156.66666666666,"delta_f<512, 8, uncompr_f>",58156.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56716.0,"delta_f<512, 8, uncompr_f>",56716.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58065.333333333336,"delta_f<512, 8, uncompr_f>",58065.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56679.0,"delta_f<512, 8, uncompr_f>",56679.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58135.66666666666,"delta_f<512, 8, uncompr_f>",58135.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58108.66666666666,"delta_f<512, 8, uncompr_f>",58108.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58196.66666666666,"delta_f<512, 8, uncompr_f>",58196.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56772.333333333336,"delta_f<512, 8, uncompr_f>",56772.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56647.0,"delta_f<512, 8, uncompr_f>",56647.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56669.0,"delta_f<512, 8, uncompr_f>",56669.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56782.0,"delta_f<512, 8, uncompr_f>",56782.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56667.66666666666,"delta_f<512, 8, uncompr_f>",56667.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58135.333333333336,"delta_f<512, 8, uncompr_f>",58135.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58109.333333333336,"delta_f<512, 8, uncompr_f>",58109.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",59556.333333333336,"delta_f<512, 8, uncompr_f>",59556.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58142.0,"delta_f<512, 8, uncompr_f>",58142.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56698.66666666666,"delta_f<512, 8, uncompr_f>",56698.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56639.0,"delta_f<512, 8, uncompr_f>",56639.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56665.0,"delta_f<512, 8, uncompr_f>",56665.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58150.333333333336,"delta_f<512, 8, uncompr_f>",58150.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56690.66666666666,"delta_f<512, 8, uncompr_f>",56690.66666666666,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58224.0,"delta_f<512, 8, uncompr_f>",58224.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58143.333333333336,"delta_f<512, 8, uncompr_f>",58143.333333333336,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",56650.0,"delta_f<512, 8, uncompr_f>",56650.0,1,0.0
runtime decompr ram2reg [µs],"delta_f<512, 8, uncompr_f>",58140.333333333336,"delta_f<512, 8, uncompr_f>",58140.333333333336,1,0.0
